Epoch: 1, Train Loss: 211.04348175965666, Val Loss: 202.1272235576923, Took 0:04:48.816323, ETA: 0:00:00

Epoch: 2, Train Loss: 202.42058744635193, Val Loss: 201.74643930288462, Took 0:04:04.451880, ETA: 0:32:35.615040

Epoch: 3, Train Loss: 201.88731223175967, Val Loss: 201.79541766826924, Took 0:03:46.306954, ETA: 0:26:24.148678

Epoch: 4, Train Loss: 201.58614538626608, Val Loss: 201.77824519230768, Took 0:03:47.475439, ETA: 0:22:44.852634

Epoch: 5, Train Loss: 201.42395386266094, Val Loss: 201.79813701923078, Took 0:03:51.600457, ETA: 0:19:18.002285

Epoch: 6, Train Loss: 201.25013412017168, Val Loss: 201.6495793269231, Took 0:03:51.094972, ETA: 0:15:24.379888

Epoch: 7, Train Loss: 201.10671942060085, Val Loss: 201.70372596153845, Took 0:03:51.347081, ETA: 0:11:34.041243

Epoch: 8, Train Loss: 201.02817864806866, Val Loss: 201.5955378605769, Took 0:03:51.006956, ETA: 0:07:42.013912

Epoch: 9, Train Loss: 200.9302172746781, Val Loss: 201.69005408653845, Took 0:04:05.300999, ETA: 0:04:05.300999

